DETAILED_RACE|1236-9|Georgetown
DETAILED_RACE|3173-2|Georgia Eastern Cherokee
DETAILED_RACE|3174-0|Gila River Indian Community of the Gila River Indian Reservation, Arizona
DETAILED_RACE|1242-7|Golden Hill Paugussett
DETAILED_RACE|1129-6|Minnesota Chippewa Tribe - Grand Portage Band
DETAILED_RACE|3177-3|Grand River Band of Ottawa Indians
DETAILED_RACE|1130-4|Grand Traverse Band of Ottawa and Chippewa Indians, Michigan
DETAILED_RACE|3179-9|Greenville Rancheria
DETAILED_RACE|3180-7|Grindstone Indian Rancheria of Wintun-Wailaki Indians of California
DETAILED_RACE|1264-1|Gros Ventres
DETAILED_RACE|3182-3|Guidiville Rancheria of California
DETAILED_RACE|3183-1|Guilford Native American Association
DETAILED_RACE|3184-9|Habematolel Pomo of Upper Lake, California
DETAILED_RACE|1267-4|Haliwa-Saponi Indian Tribe
DETAILED_RACE|1481-1|Hannahville Indian Community, Michigan
DETAILED_RACE|3187-2|Hassanamisco Band of the Nipmuc Nation
DETAILED_RACE|1726-9|Havasupai Tribe of the Havasupai Reservation, Arizona
DETAILED_RACE|3189-8|Herring Pond Wampanoag Tribe
DETAILED_RACE|1269-0|Hidatsa
DETAILED_RACE|1697-2|Ho-Chunk Nation of Wisconsin
DETAILED_RACE|1083-5|Hoh Indian Tribe
DETAILED_RACE|1275-7|Hoopa Extension
DETAILED_RACE|1271-6|Hoopa Valley Tribe, California
DETAILED_RACE|3195-5|Hopi Tribe of Arizona
DETAILED_RACE|3196-3|Hopland Band of Pomo Indians, California
DETAILED_RACE|3197-1|Houlton Band of Maliseet Indians
DETAILED_RACE|1727-7|Hualapai Indian Tribe of the Hualapai Indian Reservation, Arizona
DETAILED_RACE|1230-2|Iipay Nation of Santa Ysabel, California
DETAILED_RACE|1359-9|Illinois Miami
DETAILED_RACE|1279-9|Inaja Band of Diegueno Mission Indians of the Inaja and Cosmit Reservation, California
DETAILED_RACE|1442-3|Indian Township
DETAILED_RACE|1360-7|Indiana Miami
DETAILED_RACE|3204-5|Ione Band of Miwok Indians of California
DETAILED_RACE|1281-5|Iowa (Tribe)
DETAILED_RACE|1282-3|Iowa Tribe of Kansas and Nebraska
DETAILED_RACE|1283-1|Iowa Tribe of Oklahoma
DETAILED_RACE|1285-6|Iroquois
DETAILED_RACE|3209-4|Jackson Band of Miwuk Indians
DETAILED_RACE|1313-6|Jamestown S'Klallam Tribe
DETAILED_RACE|3211-0|Jamul Indian Village of California
DETAILED_RACE|1157-7|Jena Band of Choctaw Indians
DETAILED_RACE|1013-2|Jicarilla Apache Nation, New Mexico
DETAILED_RACE|1297-1|Juaneno (Acjachemem)
DETAILED_RACE|1423-3|Kaibab Band of Paiute Indians of the Kaibab Indian Reservation, Arizona
DETAILED_RACE|1395-3|Kalapuya
DETAILED_RACE|1299-7|Kalispel Indian Community of the Kalispel Reservation
DETAILED_RACE|1301-1|Karuk Tribe
DETAILED_RACE|1468-8|Kashia Band of Pomo Indians of the Stewarts Point Rancheria, California
DETAILED_RACE|1117-1|Kathlamet
DETAILED_RACE|1303-7|Kaw Nation, Oklahoma
DETAILED_RACE|3222-7|Kern Valley Indian Community
DETAILED_RACE|1510-7|Kewa Pueblo, New Mexico
DETAILED_RACE|3224-3|Keweenaw Bay Indian Community, Michigan
DETAILED_RACE|1198-1|Kialegee Tribal Town
DETAILED_RACE|1305-2|Kickapoo
DETAILED_RACE|1307-8|Kickapoo Traditional Tribe of Texas
DETAILED_RACE|3228-4|Kickapoo Tribe of Indians of the Kickapoo Reservation in Kansas
DETAILED_RACE|1306-0|Kickapoo Tribe of Oklahoma
DETAILED_RACE|1520-6|Kikiallus
DETAILED_RACE|1309-4|Kiowa
